nombre,img_url,familia,sinonimos,habito,origen,distribuicion,rango,paiseslimitrofes,nombre_comun,notas
Senecio linaresensis Soldano,-,Asteraceae,"Senecio subdentatus Phil., hom. illeg.",Subarbusto,Endémica,Maule (MAU),900-2000 m.,-,-,-
Senecio linariifolius Poepp. ex DC. var. aclonetus (Phil.) Cabrera,-,Asteraceae,"Senecio aclonetus Phil., Senecio encelia J. Remy, Senecio microcephalus Phil. var. aclonetus (Phil.) Kuntze",Subarbusto,Endémica,"Maule (MAU), Ñuble (NUB), Biobío (BIO)",0-2200 m.,-,-,-
Senecio linariifolius Poepp. ex DC. var. heliophytoides (Phil.) Reiche,-,Asteraceae,Senecio heliophytoides Phil.,Subarbusto,Nativa,"Metropolitana (RME), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA), Aysén (AIS)",1200-2500 m.,Argentina,-,-
Senecio linariifolius Poepp. ex DC. var. linariifolius,-,Asteraceae,Senecio promaucanus Phil.,Subarbusto,Nativa,"O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Aysén (AIS)",1000-2900 m.,Argentina,-,-
Senecio lithostaurus Cabrera,-,Asteraceae,Senecio remyanus Phil. fma. eradiatus Kuntze,Subarbusto,Nativa,Metropolitana (RME),1500-3500 m.,Argentina,-,-
Senecio looseri Cabrera,http://catalogoplantas.udec.cl/sites/default/files/2392_1.jpg,Asteraceae,"",Subarbusto,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME)",3000-5000 m.,Argentina,-,-
Senecio lorentziella Hicken,-,Asteraceae,"",Subarbusto,Nativa,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME)",2900-3500 m.,Argentina,-,-
Senecio luridus Phil.,-,Asteraceae,"",Arbusto,Endémica,Atacama (ATA),2400 m.,-,-,-
Senecio madagascariensis Poir.,-,Asteraceae,"",Hierba perenne,Introducida,Coquimbo (COQ),-,-,-,-
Senecio madariagae Phil.,-,Asteraceae,"",Arbusto,Endémica,"Tarapacá (TAR), Antofagasta (ANT)",0-3400 m.,-,-,-
Senecio magellanicus Hook. & Arn.,-,Asteraceae,"Senecio culcitenellus Cuatrec., Senecio vaginifolius Sch. Bip., Culcitium magellanicum (Hook. & Arn.) Hombr. & Jacquinot",Hierba perenne,Nativa,"Aysén (AIS), Magallanes (MAG)",200-1600 m.,Argentina,-,-
Senecio mapuche Cabrera,-,Asteraceae,"",Subarbusto,Endémica,"Valparaíso (VAL), Metropolitana (RME)",1800-2200 m.,-,-,-
Senecio martinensis Dusén,-,Asteraceae,Hierba perenne,Nativa,"Aysén (AIS), Magallanes (MAG)",600-1200 m.,Argentina,-,-,""
Senecio masafuerae (Skottsb.) Pelser,-,Asteraceae,Robinsonia masafuerae (Skottsb.) Pelser,Arbusto,Endémica,Juan Fernández (JFE),0-500 m.,-,-,-
Senecio masatierrae Pelser,-,Asteraceae,"Robinsonia macrocephala Decne., Symphyochaeta macrocephala (Decne.) Skottsb.",Arbusto o árbol pequeño,Endémica,Juan Fernández (JFE),0-500 m.,-,Incienso,Extinta
Senecio maulinus Reiche,-,Asteraceae,"Senecio leucomallus Phil., hom. illeg.",Subarbusto,Endémica,"O'Higgins (LBO), Maule (MAU)",200-2800 m.,-,-,-
Senecio mesembrynus Cabrera,-,Asteraceae,Senecio bakeri Reiche,Subarbusto,Endémica,"Aysén (AIS), Magallanes (MAG)",0-100 m.,-,-,-
Senecio microcephalus Phil. var. angustifolius Cabrera,-,Asteraceae,"",Arbusto,Nativa,Los Lagos (LLA),300-800 m.,Argentina,-,-
Senecio microcephalus Phil. var. microcephalus,-,Asteraceae,"",Arbusto,Nativa,"Ñuble (NUB), Los Ríos (LRI)",300-800 m.,Argentina,-,-
Senecio microphyllus Phil.,http://catalogoplantas.udec.cl/sites/default/files/2406_1.jpg,Asteraceae,"Senecio hakeifolius Hook. & Arn. var. adenophyllus Hook. & Arn., Senecio gypsophilus Phil., Senecio bowenkampi Phil., Senecio alfalfalis Phil.",Arbusto,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU)",1500-2300 m.,Argentina,-,-
Senecio micropifolius DC.,http://catalogoplantas.udec.cl/sites/default/files/2407_1.jpg,Asteraceae,Senecio pelolepis Johnst.,Subarbusto,Endémica,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ)",1900-4300 m.,-,-,-
Senecio microtis Phil.,-,Asteraceae,"",Arbusto,Endémica,Atacama (ATA),0-3200 m.,-,-,-
Senecio minutifolius Phil.,-,Asteraceae,"",Arbusto,Endémica,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME)",1600-3200 m.,-,-,-
Senecio miser Hook.f.,-,Asteraceae,"Senecio ericoides Reiche, Senecio fueginus Phil.",Subarbusto,Nativa,Magallanes (MAG),100-1500 m.,Argentina,-,-
Senecio monttianus J. Remy,-,Asteraceae,"",Subarbusto,Endémica,"Arica y Parinacota (AYP), Coquimbo (COQ), Metropolitana (RME), O'Higgins (LBO), Maule (MAU)",2400-3000 m.,-,-,-
Senecio munnozii Cabrera,http://catalogoplantas.udec.cl/sites/default/files/2412_1.jpg,Asteraceae,"",Subarbusto,Endémica,Coquimbo (COQ),0-100 m.,-,-,-
Senecio murinus Phil.,-,Asteraceae,"",Subarbusto,Endémica,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL)",400-1400 m.,-,"Hierba de los ratones, hierba zonza",-
Senecio murorum J. Remy,http://catalogoplantas.udec.cl/sites/default/files/2414_1.jpg,Asteraceae,"",Arbusto,Endémica,"Coquimbo (COQ), Metropolitana (RME)",100-200 m.,-,Monte azulillo,-
Senecio myriophyllus Phil.,-,Asteraceae,"",Arbusto o subarbusto,Endémica,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ)",0-1200 m.,-,-,-
Senecio neaei DC. var. incisus DC.,-,Asteraceae,Senecio sericeus Kuntze var. incisus (DC.) Kuntze,Arbusto o subarbusto,Nativa,Magallanes (MAG),0-2600 m.,Argentina,-,-
Senecio neaei DC. var. neaei,-,Asteraceae,Senecio sericeus Kuntze var. neaei (DC.) Kuntze,Arbusto o subarbusto,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Aysén (AIS)",300-1800 m.,Argentina,-,-
Senecio nigrescens Hook. & Arn.,-,Asteraceae,Senecio chamaedryfolius Less.,Hierba perenne,Endémica,"Maule (MAU), Ñuble (NUB), Biobío (BIO)",0-100 m.,-,Nilhue,-
Senecio nublensis Soldano,-,Asteraceae,"Senecio carnosus Phil., hom. illeg.",Subarbusto,Endémica,"Ñuble (NUB), Araucanía (ARA), Los Lagos (LLA)",0-1800 m.,-,-,-
Senecio nutans Sch. Bip.,-,Asteraceae,Senecio graveolens Wedd.,Arbusto,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT)",3500-5000 m.,"Argentina, Bolivia y Perú","Tola hembra, chachacoma, chachakoma macho",-
Senecio obtectus Kuntze,-,Asteraceae,"",Subarbusto,Nativa,"Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO)",2200-2600 m.,Argentina,-,-
Senecio oreinus Cabrera,-,Asteraceae,"Senecio andicola Phil., hom. illeg., Senecio monticola Phil., hom. illeg.",Subarbusto,Nativa,"Atacama (ATA), Coquimbo (COQ)",1700-3000 m.,Argentina,-,-
Senecio oreophyton J. Remy,http://catalogoplantas.udec.cl/sites/default/files/2423_1.jpg,Asteraceae,Senecio medicinalis Phil.,Arbusto,Nativa,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ)",3100-4000 m.,Argentina,"Hierba del incordio, chachacoma",-
Senecio otaeguianus Phil.,-,Asteraceae,"",Subarbusto,Endémica,Valparaíso (VAL),0-100 m.,-,-,-
Senecio otites Kunze ex DC.,-,Asteraceae,"Senecio chiloensis Phil., Senecio otophorus Phil., nom. illeg.",Hierba perenne,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS)",600-1100 m.,Argentina,"Trompetilla, tutuco, trompón",-
Senecio pachyphyllos J. Remy,-,Asteraceae,"Senecio domeykoanus Phil., Senecio sedifolius Phil.",Subarbusto,Nativa,"Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",1200-3200 m.,Argentina,-,-
Senecio pappii Ricardi & Martic.,-,Asteraceae,"",Subarbusto,Endémica,"Arica y Parinacota (AYP), Antofagasta (ANT)",3200-3600 m.,-,"Kopa de cóndor, chachakoma blanca, pupusa",-
Senecio parodii Cabrera,-,Asteraceae,"",Hierba perenne,Nativa,"Biobío (BIO), Araucanía (ARA), Los Lagos (LLA)",300-1200 m.,Argentina,-,-
Senecio patagonicus Hook. & Arn. var. alyssoides (Sch. Bip.) Cabrera,-,Asteraceae,"Senecio danyausii Hombr. & Jacquinot var. alyssoides Sch. Bip., Senecio exilis Hombr. & Jacquinot, Senecio floccidus Hombr. & Jacquinot",Subarbusto,Nativa,"Aysén (AIS), Magallanes (MAG)",0-500 m.,Argentina,-,-
Senecio patagonicus Hook. & Arn. var. andersonii (Hook.f.) Cabrera,-,Asteraceae,"Senecio andersonii Hook.f., Senecio andersonii Hook.f. var. ß Hook.f., Senecio forsteri Phil.",Subarbusto,Nativa,"Aysén (AIS), Magallanes (MAG)",100-900 m.,Argentina,-,-
Senecio patagonicus Hook. & Arn. var. lobatifolius (Hombr. & Jacquinot) Cabrera,-,Asteraceae,"Senecio danyausii Hombr. & Jacquinot var. ß J. Remy, nom. illeg., Senecio danyausii Hombr. & Jacquinot var. lobatifolia Hombr. & Jacquinot, Senecio danyausii Hombr. & Jacquinot var. trifurcatus Sch. Bip.",Subarbusto,Nativa,Magallanes (MAG),0-500 m.,Argentina,-,-
Senecio patagonicus Hook. & Arn. var. patagonicus,http://catalogoplantas.udec.cl/sites/default/files/2432_1.jpg,Asteraceae,"Senecio lechleri Phil., Senecio palenae Phil.",Subarbusto,Nativa,"Aysén (AIS), Magallanes (MAG)",200-1300 m.,Argentina,-,-
Senecio paucidentatus DC. var. limbardioides (Hook. & Arn.) Cabrera,-,Asteraceae,"Senecio limbardioides Hook. & Arn., Senecio olivaceus Phil.",Subarbusto,Endémica,Valparaíso (VAL),0-100 m.,-,-,-
Senecio paucidentatus DC. var. paucidentatus,-,Asteraceae,"",Subarbusto,Endémica,"Coquimbo (COQ), Valparaíso (VAL)",0-200 m.,-,-,-
Senecio pemehuensis Soldano,-,Asteraceae,"Senecio scoparius Phil., hom. illeg.",Subarbusto,Endémica,"Biobío (BIO), Araucanía (ARA)",1400 m.,-,-,-
Senecio pentaphyllus Phil.,-,Asteraceae,"Senecio laciniosus Phil., Senecio navarri Phil., Senecio pentaphyllus Phil. var. navarri (Phil.) Reiche, Senecio schoenleini Meigen",Subarbusto,Endémica,"Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO)",2300-2500 m.,-,-,-
Senecio peripotamus C. Jeffrey,http://catalogoplantas.udec.cl/sites/default/files/2437_1.jpg,Asteraceae,"Senecio rivularis J. Remy, hom. illeg.",Subarbusto,Endémica,Coquimbo (COQ),300-2700 m.,-,-,-
Senecio peteroanus Phil.,-,Asteraceae,"",Subarbusto,Nativa,"Maule (MAU), Araucanía (ARA)",1600-2100 m.,Argentina,-,-
Senecio petrophyus Pelser,-,Asteraceae,Robinsonia saxatilis Danton,Arbusto,Endémica,Juan Fernández (JFE),300 m.,-,-,-
Senecio philippicus Regel & Körn.,http://catalogoplantas.udec.cl/sites/default/files/2440_1.jpg,Asteraceae,Senecio paposanus Phil.,Arbusto,Endémica,Antofagasta (ANT),200-900 m.,-,-,-
