nombre,img_url,familia,sinonimos,habito,origen,distribuicion,rango,paiseslimitrofes,nombre_comun,notas
Hordeum comosum J. Presl,http://catalogoplantas.udec.cl/sites/default/files/1064_1.jpg,Poaceae,"",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",5-4300 m.,Argentina y Bolivia,-,-
"Hordeum fuegianum Bothmer, N. Jacobsen & R.R. Jorg.",-,Poaceae,"",Hierba perenne,Nativa,Magallanes (MAG),10-1000 m.,Argentina,-,-
Hordeum hystrix Roth,-,Poaceae,"",Hierba perenne,Introducida,"Valparaíso (VAL), O'Higgins (LBO), Maule (MAU), Ñuble (NUB)",-,-,-,-
Hordeum jubatum L.,-,Poaceae,"",Hierba perenne,Introducida,Magallanes (MAG),-,-,-,-
Hordeum lechleri (Steud.) Schenck,-,Poaceae,"Critesion lechleri (Steud.) A. Löve, Elymus lechleri Steud",Hierba perenne,Nativa,"Aysén (AIS), Magallanes (MAG)",10-500 m.,Argentina,-,-
Hordeum marinum Huds. subsp. gussoneanum (Parl.) Thell.,-,Poaceae,"",Hierba anual,Introducida,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Biobío (BIO)",-,-,-,-
Hordeum marinum Huds. subsp. marinum,-,Poaceae,"",Hierba anual,Introducida,"Valparaíso (VAL), Metropolitana (RME), Maule (MAU), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",-,-,-,-
Hordeum murinum L. subsp. leporinum (Link.) Arcang.,-,Poaceae,"",Hierba anual,Introducida,"Valparaíso (VAL), Biobío (BIO)",-,-,-,-
Hordeum murinum L. subsp. murinum,-,Poaceae,"",Hierba anual,Introducida,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE), Rapa Nui (IPA)",-,-,-,-
Hordeum muticum J. Presl,-,Poaceae,"",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Metropolitana (RME), Los Ríos (LRI), Los Lagos (LLA)",460-4040 m.,"Argentina, Bolivia y Perú",-,-
Hordeum parodii Covas,-,Poaceae,Critesion parodii (Covas) A. Löve,Hierba perenne,Nativa,"Aysén (AIS), Magallanes (MAG)",10-200 m.,Argentina,-,-
"Hordeum patagonicum (Hauman) Covas subsp. magellanicum (Parodi & Nicora) Bothmer, Giles & N. Jacobsen",-,Poaceae,"Hordeum chilense Roem. & Schult. var. magellanicum Parodi & Nicora, Critesion magellanicum (Parodi & Nicora) A. Löve",Hierba perenne,Nativa,"Atacama (ATA), Metropolitana (RME), Aysén (AIS), Magallanes (MAG)",150-700 m.,Argentina,-,-
"Hordeum patagonicum (Hauman) Covas subsp. santacrucense (Parodi & Nicora) Bothmer, Giles & N. Jacobsen",http://catalogoplantas.udec.cl/sites/default/files/1076_1.jpg,Poaceae,"Hordeum santacrucense (Parodi & Nicora), Critesion santacrucense (Parodi & Nicora) Á. Löve",Hierba perenne,Nativa,"Aysén (AIS), Magallanes (MAG)",150-170 m.,Argentina,-,-
Hordeum pubiflorum Hook.f. subsp. halophilum (Griseb.) Baden & Bothmer,http://catalogoplantas.udec.cl/sites/default/files/1077_1.jpg,Poaceae,"Hordeum halophilum Griseb., Hordeum jubatum L. fma. versicolor Kuntze, Hordeum jubatum L. fma. violaceum Kuntze, Hordeum jubatum fma. viride Kuntze",Hierba perenne,Nativa,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Metropolitana (RME), O'Higgins (LBO), Biobío (BIO), Aysén (AIS), Magallanes (MAG)",20-4170 m.,Argentina y Bolivia,-,-
Hordeum pubiflorum Hook.f. subsp. pubiflorum,-,Poaceae,"",Hierba perenne,Nativa,"Metropolitana (RME), Maule (MAU), Biobío (BIO), Magallanes (MAG)",15-3500 m.,Argentina,-,-
Hordeum vulgare L.,-,Poaceae,"",Hierba anual,Introducida,"Atacama (ATA), Coquimbo (COQ), Metropolitana (RME), Biobío (BIO), Araucanía (ARA)",-,-,-,-
Imperata brasiliensis Trin.,-,Poaceae,Imperata arundinacea Cirillo var. americana,Hierba perenne,Nativa,Ñuble (NUB),-,"Argentina, Bolivia y Perú",Paja colorada,-
Imperata condensata Steud.,http://catalogoplantas.udec.cl/sites/default/files/1081_1.jpg,Poaceae,"Imperata arundinacea Cirillo var. condensata (Steud.) Hack., Imperata cylindrica (L.) Raeusch. var. condensata (Steud.) Hack.",Hierba perenne,Nativa,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI)",10-2233 m.,Argentina y Bolivia,maicillo,-
Imperata parodii Acevedo,-,Poaceae,"",Hierba perenne,Endémica,Araucanía (ARA),-,-,-,-
Jarava annua (Mez) Peñail.,-,Poaceae,Stipa annua Mez,Hierba anual,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT)",100-3700 m.,Perú,-,-
Jarava ichu Ruiz & Pav. var. pungens (Nees & Meyen) Ciald.,http://catalogoplantas.udec.cl/sites/default/files/1084_1.jpg,Poaceae,"",Hierba perenne,Nativa,Arica y Parinacota (AYP),4040-4040 m.,"Argentina, Bolivia y Perú",-,-
Jarava leptostachya (Griseb.) F. Rojas,http://catalogoplantas.udec.cl/sites/default/files/1085_1.jpg,Poaceae,Stipa leptostachya Griseb.,Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT)",3300-4040 m.,Argentina y Bolivia,Paja amarilla,-
Jarava neaei (Nees ex Steud.) Peñail.,-,Poaceae,"Stipa neaei Nees ex Steud., Stipa bella Phil.",Hierba perenne,Nativa,"Coquimbo (COQ), Metropolitana (RME), Maule (MAU), Aysén (AIS)",1000-2700 m.,Argentina,-,-
Jarava plumosa (Spreng.) S.W.L. Jacobs & Everett,http://catalogoplantas.udec.cl/sites/default/files/1087_1.jpg,Poaceae,"Calamagrostis plumosa Spreng., Stipa tenuiflora Phil.",Hierba perenne,Nativa,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",5-900 m.,Argentina,-,-
Jarava plumosula (Nees ex Steud.) F. Rojas,http://catalogoplantas.udec.cl/sites/default/files/1088_1.jpg,Poaceae,"Stipa plumosula Nees ex Steud., Stipa plumosa Trin.",Hierba perenne,Nativa,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME)",10-3500 m.,"Argentina, Bolivia y Perú",-,-
Jarava pogonathera (E. Desv.) Peñail.,-,Poaceae,"Stipa pogonathera E. Desv., Stipa buchtienii Hack.",Hierba perenne,Nativa,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), Maule (MAU)",720-3700 m.,Argentina,-,-
Jarava psylantha (Speg.) Peñail.,-,Poaceae,Stipa psylantha Speg.,Hierba perenne,Nativa,"Aysén (AIS), Magallanes (MAG)",150-300 m.,Argentina,-,-
Jarava pungionata (Caro & E.A. Sánchez) Matthei,http://catalogoplantas.udec.cl/sites/default/files/1091_1.jpg,Poaceae,Stipa pungionata Caro & E.A. Sánchez,Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT)",3725-4150 m.,Argentina,-,-
Jarava scabrifolia (Torres) Peñail.,-,Poaceae,"Stipa scabrifolia Torres, Jarava mattheii F. Rojas",Hierba perenne,Nativa,Antofagasta (ANT),4000-4000 m.,Argentina y Bolivia,-,-
Jarava subaristata (Matthei) Matthei,http://catalogoplantas.udec.cl/sites/default/files/1093_1.jpg,Poaceae,"Stipa leptostachya Griseb. var. subaristata Matthei, Stipa subaristata (Matthei) Caro & E.A. Sánchez",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR)",1870-4040 m.,Argentina,-,-
Jarava tortuosa (E. Desv.) Peñail.,-,Poaceae,Stipa tortuosa E. Desv.,Hierba perenne,Endémica,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ)",10-900 m.,-,-,-
Koeleria fueguina Calderón ex Nicora,-,Poaceae,"",Hierba perenne,Nativa,"Maule (MAU), Ñuble (NUB), Aysén (AIS), Magallanes (MAG)",400-1600 m.,Argentina,-,-
Koeleria kurtzii Hack. emend. A.M. Molina,-,Poaceae,Trisetum subaristatum E. Desv.,Hierba perenne,Nativa,"Tarapacá (TAR), Metropolitana (RME), Maule (MAU), Magallanes (MAG)",3400-4300 m.,"Argentina, Bolivia y Perú",-,-
Lachnagrostis filiformis (G. Forst.) Trin.,-,Poaceae,Agrostis avenacea J.F. Gmel.,Hierba anual o perenne,Nativa,"Valparaíso (VAL), Maule (MAU), Los Lagos (LLA), Rapa Nui (IPA)",150-320 m.,Argentina,Tuere heu (Rapa Nui),"Introducida en el continente: regiones de Valparaíso, Maule y Los Lagos"
Lagurus ovatus L.,-,Poaceae,"",Hierba anual,Introducida,"Coquimbo (COQ), Valparaíso (VAL), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Magallanes (MAG)",-,-,-,-
Lamarckia aurea (L.) Moench,-,Poaceae,"",Hierba anual,Introducida,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME)",-,-,-,-
Leptophyllochloa micrathera (E. Desv.) C.E. Calderón ex Nicora,http://catalogoplantas.udec.cl/sites/default/files/1100_1.jpg,Poaceae,"Trisetum micratherum E. Desv., Koeleria micrathera (E. Desv.) Griseb., Koeleria philippiana E. Desv., Trisetum depauperatum Phil., Trisetum brachyatherum Phil., Trisetum laxiflorum Phil., Trisetum laxum Phil., Trisetum nemorosum Phil.",Hierba perenne,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Juan Fernández (JFE)",25-1200 m.,Argentina,-,Introducida en el Archipiélago de Juan Fernández
Lepturus repens (G. Forst.) R. Br.,-,Poaceae,"",Hierba anual,Introducida,Rapa Nui (IPA),-,-,-,-
Leymus arenarius (L.) Hochst.,-,Poaceae,"",Hierba perenne,Introducida,"Valparaíso (VAL), Magallanes (MAG)",-,-,-,-
Lolium multiflorum Lam.,-,Poaceae,"",Hierba anual o bienal,Introducida,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Magallanes (MAG), Juan Fernández (JFE)",-,-,-,-
Lolium perenne L.,-,Poaceae,"",Hierba perenne,Introducida,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE), Rapa Nui (IPA)",-,-,-,-
Lolium rigidum Gaudin,-,Poaceae,"",Hierba anual,Introducida,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Magallanes (MAG)",-,-,-,-
Lolium temulentum L.,-,Poaceae,"",Hierba anual,Introducida,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",-,-,-,-
Megalachne berteroniana Steud.,http://catalogoplantas.udec.cl/sites/default/files/1107_1.jpg,Poaceae,"Bromus megalachne Pilg., Pantathera fernandeziana Phil., Bromus fernandezianus Phil., Pantathera avenacea Phil.",Hierba perenne,Endémica,Juan Fernández (JFE),180-670 m.,-,-,-
Megalachne dantonii Penneck. & Gl. Rojas,-,Poaceae,"",Hierba perenne,Endémica,Juan Fernández (JFE),1250 m.,-,-,-
Megalachne masafuerana (Skottsb. & Pilg.) Matthei,-,Poaceae,Bromus masafueranus Skottsb. & Pilg.,Hierba perenne,Endémica,Juan Fernández (JFE),320-1100 m.,-,-,-
Megalachne robinsoniana C. Peña,-,Poaceae,"",Hierba perenne,Endémica,Juan Fernández (JFE),300-400 m.,-,-,-
Megathyrsus maximus (Jacq.) B. K. Simon & S. W. L. Jacobs var. pubiglumis (K. Schum.) B. K. Simon & S. W. L. Jacobs,-,Poaceae,"",Hierba perenne,Introducida,Rapa Nui (IPA),-,-,-,-
Melica argentata E. Desv.,-,Poaceae,"Melica glabra Steud., Melica ampla Phil., Melica nitida Phil., Melica tortuosa Phil., Melica argentata var. breviglumis Papp, Melica violacea var. argentata Papp",Hierba perenne,Endémica,"Antofagasta (ANT), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU)",15-2200 m.,-,-,-
Melica commersonnii Nees ex Steud.,-,Poaceae,"Melica commutata Steud., Melica violacea Cav. var. pallida E. Desv., Melica violacea Cav. var. commersonii (Nees ex Steud.) Papp, Melica violacea Cav. var. commutata (Steud.) Papp",Hierba perenne,Endémica,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO)",15-1900 m.,-,-,-
Melica longiflora Steud.,http://catalogoplantas.udec.cl/sites/default/files/1114_1.jpg,Poaceae,"Melica flava Nees ex Steud., Maelica laxiflora E. Desv., Melica laxiflora E. Desv. var. hirsuta E. Desv., Melica hirta Phil., Melica exaltata Phil., Melica berteroana Phil., Melica berteroana fma. violacea Papp, Melica berteroana Phil. var. exaltata (Phil.) Papp, Melica berteroana Phil. var. pilosula Papp, Melica flava Nees ex Steud. var. violacea Papp, Melica laxiflora E. Desv. var. glabra Papp, Melica laxiflora E. Desv. var. hirta Papp, Melica laxiflora E. Desv. var. pilosula Papp, Melica laxiflora fma. hirta (Phil.) Hempel",Hierba perenne,Endémica,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU)",20-1300 m.,-,-,-
Melica mollis Phil.,-,Poaceae,"",Hierba perenne,Endémica,"Atacama (ATA), Coquimbo (COQ)",340 m.,-,-,-
Melica paulsenii Phil.,-,Poaceae,"Melica littoralis Phil. var. paulsenii (Phil.) Papp, Melica littoralis Phil. var. werdermannii Papp",Hierba perenne,Endémica,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), Maule (MAU)",50-700 m.,-,-,-
Melica poecilantha E. Desv.,-,Poaceae,Melica poecilantha E. Desv. var. umbrosa E. Desv.,Hierba perenne,Endémica,Coquimbo (COQ),500-1200 m.,-,-,-
Melica violacea Cav.,-,Poaceae,"Melica alata Nees ex Steud., Melica filiculmis E. Desv., Melica valdiviana Phil., Melica alata Nees ex Steud. var. filiculmis (E. Desv.) Papp, Melica alata Nees ex Steud. var. mollis Papp, Melica violacea Cav. fma. mollis (Papp) Hempel",Hierba perenne,Endémica,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI)",5-2000 m.,-,-,-
Melinis minutiflora P. Beauv.,-,Poaceae,"",Hierba perenne,Introducida,Rapa Nui (IPA),-,-,-,-
Melinis repens (Willd.) Zizka,-,Poaceae,"",Hierba perenne,Introducida,Rapa Nui (IPA),-,-,-,-
Microchloa indica (L. f.) P. Beauv.,-,Poaceae,"",Hierba perenne,Introducida,Arica y Parinacota (AYP),-,-,-,-
Microchloa kunthii Desv.,-,Poaceae,"",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR)",3220-3220 m.,"Argentina, Bolivia y Perú",-,-
Miscanthus sinensis Andersson,-,Poaceae,"",Hierba perenne,Introducida,Maule (MAU),-,-,-,-
Muhlenbergia asperifolia (Nees & Meyen ex Trin.) Parodi,http://catalogoplantas.udec.cl/sites/default/files/1124_1.jpg,Poaceae,"Vilfa asperifolia Nees & Meyen ex Trin., Sporobolus copiapinus Phil.",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Metropolitana (RME)",100-4700 m.,Argentina y Bolivia,-,-
Muhlenbergia fastigiata (J. Presl) Henrard,http://catalogoplantas.udec.cl/sites/default/files/1125_1.jpg,Poaceae,Sporobolus fastigiatus J. Presl,Hierba perenne,Nativa,Arica y Parinacota (AYP),3300-4300 m.,"Argentina, Bolivia y Perú",-,-
Muhlenbergia peruviana (P. Beauv.) Steud.,http://catalogoplantas.udec.cl/sites/default/files/1126_1.jpg,Poaceae,Clomena peruviana P. Beauv.,Hierba anual,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Maule (MAU)",2250-4040 m.,"Argentina, Bolivia y Perú",-,-
Munroa andina Phil.,http://catalogoplantas.udec.cl/sites/default/files/1127_1.jpg,Poaceae,"Hemimunroa andina (Phil.) Parodi, Munroa multiflora Phil.",Hierba anual,Nativa,"Tarapacá (TAR), Antofagasta (ANT)",2700-4000 m.,Argentina y Bolivia,-,-
Munroa argentina Griseb.,http://catalogoplantas.udec.cl/sites/default/files/1128_1.jpg,Poaceae,"",Hierba anual,Nativa,Antofagasta (ANT),2820-3800 m.,Argentina y Bolivia,-,-
Munroa decumbens Phil.,http://catalogoplantas.udec.cl/sites/default/files/1129_1.jpg,Poaceae,"",Hierba anual,Nativa,"Arica y Parinacota (AYP), Antofagasta (ANT)",2850-3660 m.,"Argentina, Bolivia y Perú",-,-
Nassella arcuata (R.E. Fr.) Torres,http://catalogoplantas.udec.cl/sites/default/files/1130_1.jpg,Poaceae,Stipa arcuata R.E. Fr.,Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT)",400-4500 m.,Argentina y Bolivia,-,-
Nassella asplundii Hitchc.,http://catalogoplantas.udec.cl/sites/default/files/1131_1.jpg,Poaceae,"",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR)",3600-4000 m.,Bolivia y Perú,-,-
"Nassella barbinodis (Phil.) Muñoz-Schick, Ciald. & Morrone",-,Poaceae,Stipa barbinodis Phil.,Hierba perenne,Endémica,"Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA)",60-280 m.,-,-,-
Nassella caespitosa Griseb.,http://catalogoplantas.udec.cl/sites/default/files/1133_1.jpg,Poaceae,"",Hierba perenne,Nativa,Antofagasta (ANT),4120-4120 m.,Argentina y Perú,-,-
Nassella chilensis (Trin.) E. Desv. var. chilensis,http://catalogoplantas.udec.cl/sites/default/files/1134_1.jpg,Poaceae,"Urachne chilensis Trin., Piptatherum ligleyanum Nees, Urachne major Trin. & Rupr., Nassella major (Trin. & Rupr.) E. Desv., Nassella ramosa E. Desv., Nassella sadae Phil., Nassella landbeckii Phil., Nassella landbackii Phil. var. eremophila Phil., Nassella laxiflora Phil., Nassella planifolia Phil.Nassella floribunda Phil., Nassella obscura fma. Phil.",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Antofagasta (ANT), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",2700-5000 m.,Argentina,"Coirón, Coironcillo, Nudillo",-
Nassella chilensis (Trin.) E. Desv. var. juncea (Phil.) Muñoz-Schick,-,Poaceae,Nassella juncea Phil.,Hierba perenne,Endémica,"Coquimbo (COQ), Metropolitana (RME), O'Higgins (LBO), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI)",20-925 m.,-,-,-
Nassella coquimbensis (Matthei) Peñail.,-,Poaceae,Stipa coquimbensis Matthei,Hierba perenne,Endémica,Coquimbo (COQ),60-350 m.,-,-,-
Nassella duriuscula (Phil.) Barkworth,-,Poaceae,Stipa duriuscula Phil.,Hierba perenne,Endémica,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI)",15-1000 m.,-,-,-
Nassella elata (Speg.) Torres,-,Poaceae,Stipa caespitosa (Griseb.) Speg. var. elata Speg.,Hierba perenne,Nativa,Atacama (ATA),2200-3000 m.,Argentina y Bolivia,-,-
Nassella filiculmis (Delile) Barkworth,http://catalogoplantas.udec.cl/sites/default/files/1139_1.jpg,Poaceae,"Stipa filiculmis Delile, Stipa leucogluma Steud., Stipa trichocaulos Phil.",Hierba perenne,Nativa,"O'Higgins (LBO), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI)",5-1200 m.,Argentina,-,-
Nassella gibba (Phil.) Muñoz-Schick,-,Poaceae,"Piptochaetium gibbum Phil., Nassella exserta Phil. var. asperata Parodi",Hierba perenne,Endémica,"Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB)",15-1000 m.,-,-,-
Nassella gigantea (Steud.) Muñoz-Schick,http://catalogoplantas.udec.cl/sites/default/files/1141_1.jpg,Poaceae,"Urachne gigantea Steud., Nassella exserta Phil., Nassella fuscescens Phil., Nassella melanocarpa Phil., Nassella pugae Phil.",Hierba perenne,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS)",5-1800 m.,Argentina,-,-
Nassella hirtifolia (Hitchc.) Barkworth,-,Poaceae,Stipa hirtifolia Hitchc.,Hierba perenne,Endémica,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO)",20-1650 m.,-,-,-
Nassella lachnophylla (Trin.) Barkworth,http://catalogoplantas.udec.cl/sites/default/files/1143_1.jpg,Poaceae,"Stipa lachnophylla Trin., Stipa cumingiana var. lachnophylla (Trin.) Trin. & Rupr., Stipa cumingiana Trin., Stipa laxa E. Desv., Stipa leiocarpa Nees ex Steud., Stipa hirta Phil.",Hierba perenne,Endémica,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Araucanía (ARA)",10-1000 m.,-,-,-
Nassella laevissima (Phil.) Barkworth,http://catalogoplantas.udec.cl/sites/default/files/1144_1.jpg,Poaceae,"Piptochaetium laevissimum Phil., Stipa laevissima (Phil.) Speg., Nassella longearistata Phil., Piptochaetium collinum Phil., Stipa breviculmis Hitchc.",Hierba perenne,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA), Aysén (AIS), Juan Fernández (JFE)",5-2500 m.,Argentina,-,Introducida en el Archipiélago de Juan Fernández
Nassella longiglumis (Phil.) Barkworth,http://catalogoplantas.udec.cl/sites/default/files/1145_1.jpg,Poaceae,Stipa longiglumis Phil.,Hierba perenne,Nativa,"Coquimbo (COQ), O'Higgins (LBO), Maule (MAU), Ñuble (NUB)",60-700 m.,Argentina,-,-
Nassella macrathera (Phil.) Barkworth,-,Poaceae,"Stipa macrathera Phil., Stipa fernandeziana Phil., hom. illeg. non Steud. 1854, Stipa rudolphii Speg.",Hierba perenne,Endémica,"Coquimbo (COQ), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Juan Fernández (JFE)",2-2000 m.,-,-,-
Nassella manicata (E. Desv. ) Barkworth,http://catalogoplantas.udec.cl/sites/default/files/1147_1.jpg,Poaceae,Stipa manicata E. Desv.,Hierba perenne,Nativa,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI)",10-2800 m.,-,-,-
Nassella meyeniana (Trin. & Rupr.) Parodi,-,Poaceae,Urachne meyeniana Trin. & Rupr.,Hierba perenne,Nativa,Arica y Parinacota (AYP),4070 m.,"Argentina, Bolivia y Perú",-,-
Nassella nardoides (Phil.) Barkworth,http://catalogoplantas.udec.cl/sites/default/files/1149_1.jpg,Poaceae,"Danthonia nardoides Phil., Stipa nardoides (Phil.) Hack. ex Hitchc",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA)",3000-4900 m.,"Argentina, Bolivia y Perú",-,-
Nassella neesiana (Trin. & Rupr.) Barkworth,http://catalogoplantas.udec.cl/sites/default/files/1150_1.jpg,Poaceae,"Stipa neesiana Trin. & Rupr., Stipa neesiana Trin. & Rupr. var. chilensis Trin. & Rupr., Stipa neesiana Trin. & Rupr. var. fernandeziana Trin. & Rupr., Stipa fernandeziana (Trin. & Rupr.) Steud., Stipa longiflora Steud., Stipa trachysperma Phil., Stipa contracta Phil., Stipa hispida Phil.",Hierba perenne,Nativa,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Juan Fernández (JFE)",5-1100 m.,"Argentina, Bolivia y Perú",flechilla,Introducida en el Archipiélago de Juan Fernández
Nassella parodii (Matthei) Barkworth,-,Poaceae,Stipa parodii Matthei,Hierba perenne,Endémica,"O'Higgins (LBO), Ñuble (NUB), Biobío (BIO)",5-370 m.,-,-,-
Nassella pfisteri (Matthei) Barkworth,-,Poaceae,Stipa pfisteri Matthei,Hierba perenne,Endémica,"Coquimbo (COQ), Maule (MAU), Ñuble (NUB)",60-350 m.,-,-,-
Nassella philippii (Steud.) Barkworth,http://catalogoplantas.udec.cl/sites/default/files/1153_1.jpg,Poaceae,"Stipa philippii Steud., Stipa lenta Hitchc.",Hierba perenne,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",65-450 m.,Argentina,-,-
Nassella poeppigiana (Trin. & Rupr.) Barkworth,http://catalogoplantas.udec.cl/sites/default/files/1154_1.jpg,Poaceae,"Stipa poeppigiana Trin. & Rupr., Stipa amethystina Steud., Nassella amethystina (Steud.) Barkworth, Stipa pratensis Phil., Stipa collina Phil., Stipa curicoana Phil., Stipa julietii Phil., Stipa montana Phil.",Hierba perenne,Nativa,"Coquimbo (COQ), Valparaíso (VAL), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI)",10-1700 m.,Argentina,"Quilmén, fechilla",-
Nassella pubiflora (Trin. & Rupr.) E. Desv.,http://catalogoplantas.udec.cl/sites/default/files/1155_1.jpg,Poaceae,Urachne pubiflora Trin. & Rupr.,Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR)",2950-4000 m.,"Argentina, Bolivia y Perú",Taj-taja,-
