nombre,large_img_url,tiny_img_url,familia,sinonimos,habito,origen,distribuicion,rango,paiseslimitrofes,nombre_comun,notas
Argemone crassifolia G.B. Ownbey,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/4559.png?itok=NNEG-_ug,Papaveraceae,"",Hierba perenne,Endémica,Atacama (ATA),1300 m.,-,-,-
Argemone hunnemannii Otto & A. Dietr.,http://catalogoplantas.udec.cl/sites/default/files/4560_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4560_1.jpg?itok=Uzxv-qJn,Papaveraceae,"Argemone mexicana L. var. grandiflora auct. non (Sweet) Reiche, Argemone platyceras Link & Otto var. chilensis Prain, Argemone platyceras Link & Otto var. hunnemannii (Otto & A. Dietr.) Fedde, Argemone mexicana sensu Gay, non L.",Hierba anual,Nativa,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU)",0-2500 m.,Argentina,Cardo blanco,-
Argemone rosea Hook.,http://catalogoplantas.udec.cl/sites/default/files/4561_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4561_1.jpg?itok=AU_YFXIp,Papaveraceae,"Argemone mexicana L. var. rosea (Hook.) Reiche, Argemone mexicana L. var. spinosa Barnéoud ex Reiche, Argemone mexicana L. var. tomentosa Barnéoud ex Reiche, Argemone platyceras Link & Otto var. hispido-rosea Fedde",Hierba anual,Endémica,"Atacama (ATA), Coquimbo (COQ)",0-900 m.,-,-,-
Argemone subfusiformis G.B. Ownbey,http://catalogoplantas.udec.cl/sites/default/files/4562_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4562_1.jpg?itok=KeQc0K1H,Papaveraceae,"Argemone mexicana L. var. ochroleuca auct. non (Sweet) Lindl., Argemone mexicana auct. non L., Argemone mexicana L. var. glauca Barnéoud ex Reiche",Hierba anual,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME)",0-2000 m.,"Argentina, Bolivia y Perú",Cardo blanco,-
Eschscholzia californica Cham.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/4563.png?itok=h8e6VMIL,Papaveraceae,"",Hierba perenne,Introducida,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",-,-,-,-
Fumaria agraria Lag.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/4564.png?itok=CcaKNscy,Papaveraceae,"",Hierba anual,Introducida,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",-,-,-,-
Fumaria capreolata L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/4565.png?itok=wWRE4Y_i,Papaveraceae,"",Hierba anual,Introducida,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Juan Fernández (JFE), Rapa Nui (IPA)",-,-,-,-
Fumaria muralis Sond. ex W.D.J. Koch,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/4566.png?itok=24JfRPH6,Papaveraceae,"",Hierba anual,Introducida,Valparaíso (VAL),80-120 m.,-,-,-
Fumaria officinalis L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/4567.png?itok=_v5h5pYl,Papaveraceae,"",Hierba anual,Introducida,Valparaíso (VAL),-,-,-,-
Fumaria parviflora Lam.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/4568.png?itok=N5lwR7zQ,Papaveraceae,Fumaria vaillantii auct. non Loisel.,Hierba anual,Introducida,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Biobío (BIO)",-,-,-,-
