nombre,large_img_url,tiny_img_url,familia,sinonimos,habito,origen,distribuicion,rango,paiseslimitrofes,nombre_comun,notas
Cuscuta micrantha Choisy var. micrantha,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3443.png?itok=7AepJPmb,Convolvulaceae,"Cuscuta micrantha Choisy var. typica Yunck., nom. illeg.",Hierba parásita anual,Endémica,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), Biobío (BIO)",3000 m.,-,Cabello de ángel,-
Cuscuta microstyla Engelm. var. bicolor (Hunz.) Hunz.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3444.png?itok=PpZSyeAt,Convolvulaceae,Cuscuta bicolor Hunz.,Hierba parásita anual,Nativa,Metropolitana (RME),2000-2500 m.,Argentina,Cabello de ángel,-
Cuscuta microstyla Engelm. var. microstyla,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3445.png?itok=nsm7RtYz,Convolvulaceae,"Cuscuta microstyla Engelm. var. typica Hunz., nom. illeg.",Hierba parásita anual,Endémica,"Metropolitana (RME), Biobío (BIO)",1600-3100 m.,-,Cabello de ángel,-
Cuscuta odorata Ruiz & Pav.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3446.png?itok=WAiMUHnX,Convolvulaceae,"",Hierba parásita anual,Nativa,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), O'Higgins (LBO)",600-1500 m.,Bolivia y Perú,Cabello de ángel,-
Cuscuta pauciflora Phil.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3447.png?itok=Yvcm6qZ5,Convolvulaceae,"",Hierba parásita anual,Nativa,"Maule (MAU), Los Ríos (LRI)",0-500 m.,Argentina,Cabello de ángel,-
Cuscuta purpurata Phil.,http://catalogoplantas.udec.cl/sites/default/files/3448_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3448_1.jpg?itok=jmMmLN7C,Convolvulaceae,"",Hierba parásita anual,Endémica,"Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ)",0-300 m.,-,Cabello de ángel,-
Cuscuta pusilla Phil.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3449.png?itok=34fyOxly,Convolvulaceae,"",Hierba parásita anual,Endémica,Los Lagos (LLA),-,-,Cabello de ángel,-
Cuscuta rustica Hunz.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3450.png?itok=2SBwMhOV,Convolvulaceae,"",Hierba parásita anual,Endémica,Coquimbo (COQ),4000 m.,-,Cabello de ángel,-
Cuscuta suaveolens Ser.,http://catalogoplantas.udec.cl/sites/default/files/3451_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3451_1.jpg?itok=RO6CwUTv,Convolvulaceae,"Cuscuta racemosa Mart. var. chiliana Engelm., Cuscuta floribunda Phil.",Hierba parásita anual,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",0-2500 m.,Argentina,Cabello de ángel,-
Cuscuta werdermannii Hunz.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3452.png?itok=iAIoTJ8j,Convolvulaceae,"",Hierba parásita anual,Endémica,Coquimbo (COQ),300 m.,-,Cabello de ángel,-
Dichondra microcalyx (Hallier f.) Fabris,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3453.png?itok=Sz130giF,Convolvulaceae,"Dichondra repens J.R. Forst. & G. Forst. var. microcalyx Hallier f., Dichondra repens auct. non J.R. Forst. & G. Forst., Dichondra sericea Sw. var. microcalyx (Hallier f.) H.T. Buck",Hierba perenne,Nativa,"Coquimbo (COQ), Araucanía (ARA)",0-900 m.,"Argentina, Bolivia y Perú",-,-
Dichondra sericea Sw. var. holosericea (O´Donell) Fabris,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3454.png?itok=HKH6S4qz,Convolvulaceae,Dichondra repens J.R. Forst. & G. Forst. var. holosericea O'Donell,Hierba perenne,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",0-1000 m.,Argentina,-,-
Dichondra sericea Sw. var. sericea,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3455.png?itok=RRcd9742,Convolvulaceae,"Dichondra repens J.R. Forst. & G. Forst. var. sericea (Sw.) Choisy, Dichondra parviflora Meisn.",Hierba perenne,Nativa,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA), Juan Fernández (JFE)",0-500 m.,Argentina y Bolivia,-,-
Evolvulus sericeus Sw. var. elongatus (Choisy) O'Donell,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3456.png?itok=Zy9gN5Yn,Convolvulaceae,"Evolvulus incanus Pers. var. elongatus Choisy, Leucomalla lanuginosa Phil.",Hierba perenne,Nativa,Metropolitana (RME),0-2000 m.,Argentina,-,-
Evolvulus sericeus Sw. var. sericeus,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3457.png?itok=llyK2J43,Convolvulaceae,Evolvulus araucanus Phil.,Hierba perenne,Nativa,Biobío (BIO),0-3500 m.,"Argentina, Bolivia y Perú",-,-
Ipomoea dumetorum Willd. ex Roem. & Schult.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3458.png?itok=rHWrYvcN,Convolvulaceae,"Convolvulus dumetorum Kunth, Convolvulus pauciflorus Roem. & Schult., Convolvulus pauciflorus Roem. & Schult. var. chilensis (A. Braun & Bouché) Kuntze, Ipomoea chilensis A. Braun & Bouché, Ipomoea paposana Phil.",Hierba trepadora perenne,Nativa,Antofagasta (ANT),900-3000 m.,"Argentina, Bolivia y Perú",-,-
Ipomoea indica (Burm. f.) Merr.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3459.png?itok=6Y6DA-Lj,Convolvulaceae,"",Hierba trepadora perenne,Introducida,Juan Fernández (JFE),0-1000 m.,-,-,Introducida en el Archipiélago de Juan Fernández
Ipomoea pes-caprae (L.) R. Br.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3460.png?itok=TQZk8PF9,Convolvulaceae,"",Hierba perenne,Nativa,Rapa Nui (IPA),-,-,"Tanoa, tano'a",-
Ipomoea purpurea (L.) Roth,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3461.png?itok=EYGp2NyC,Convolvulaceae,Convolvulus purpureus L.,Hierba trepadora anual,Introducida,"Valparaíso (VAL), Metropolitana (RME)",0-2000 m.,-,-,-
Coriaria ruscifolia L.,http://catalogoplantas.udec.cl/sites/default/files/3462_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3462_1.jpg?itok=SWcfpVkR,Coriariaceae,"",Arbusto,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS)",500-1600 m.,Argentina y Perú,"Deu, huique, huiqui, matarratones",-
Crassula closiana (Gay) Reiche,http://catalogoplantas.udec.cl/sites/default/files/3463_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3463_1.jpg?itok=GktHBxUD,Crassulaceae,Tillaea closiana Gay,Hierba anual,Nativa,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO)",0-700 m.,Bolivia y Perú,-,-
Crassula connata (Ruiz & Pav.) A. Berger var. connata,http://catalogoplantas.udec.cl/sites/default/files/3464_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3464_1.jpg?itok=dBW0HPVF,Crassulaceae,"Crassula erecta (Hook. & Arn.) Berger, Tillaea connata Ruiz & Pav., Tillaeae erecta Hook. & Arn., Tillaeae minima Gay",Hierba anual,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Los Lagos (LLA)",0-3300 m.,"Argentina, Bolivia y Perú",-,-
Crassula connata (Ruiz & Pav.) A. Berger var. erectoides M. Bywater & Wickens,http://catalogoplantas.udec.cl/sites/default/files/3465_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3465_1.jpg?itok=x8Jpw1IF,Crassulaceae,"",Hierba anual,Nativa,"Valparaíso (VAL), Metropolitana (RME), Maule (MAU)",-,-,-,"Presente en Arizona, California y México"
Crassula connata (Ruiz & Pav.) A. Berger var. muscoides M. Bywater & Wickens,http://catalogoplantas.udec.cl/sites/default/files/3466_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3466_1.jpg?itok=yDHuFi5J,Crassulaceae,"",Hierba anual,Endémica,Los Lagos (LLA),-,-,-,-
Crassula decumbens Thunb.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3467.png?itok=-6kjgSmJ,Crassulaceae,"Crassula ovallei (Phil.) Reiche, Crassula radicans (Phil.) Reiche, Tillaea ovallei Phil., Tillaea radicans Phil., Tillaea rencana Phil.",Hierba anual,Nativa,"Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO)",-,-,-,-
Crassula drummondii (Torr. & A. Gray) Fedde,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3468.png?itok=YauVrdTx,Crassulaceae,Tillaea drummondii Torr. & A. Gray,Hierba anual,Nativa,"Metropolitana (RME), Maule (MAU)",0-3000 m.,Argentina,-,-
Crassula moschata G. Forst.,http://catalogoplantas.udec.cl/sites/default/files/3469_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3469_1.jpg?itok=fozjQKxI,Crassulaceae,"Bulliarda magellanica DC., nom. nud., Crassula magellanica (Willd. ex Schult.) Macloskie, Tillaea magellanica Willd. ex Schult., Tillaea moschata (G. Forst.) DC., Tillaea chiloensis Gay",Hierba anual,Nativa,"Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-100 m.,Argentina,-,-
Crassula peduncularis (Sm.) F. Meigen,http://catalogoplantas.udec.cl/sites/default/files/3470_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3470_1.jpg?itok=RjJ_iXly,Crassulaceae,"Crassula paludosa (Schltdl.) Reiche, Tillaea paludosa Schltdl. ex Lechl., nom. nud., Tillaea peduncularis Sm.",Hierba anual,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS)",0-2500 m.,Argentina,-,-
Crassula solieri (Gay) F. Meigen,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3471.png?itok=Ks2Lcg5W,Crassulaceae,"Tillaea solierii Gay, Tillaea andicola Phil., Crassula andicola (Phil.) Meigen",Hierba anual,Nativa,"Metropolitana (RME), Maule (MAU), Ñuble (NUB), Biobío (BIO)",100-500 m.,-,-,También en Norteamérica
Crassula tillaea Lest.-Garl.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3472.png?itok=p810jjMm,Crassulaceae,"",Hierba anual,Introducida,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO)",-,-,-,-
Sedum acre L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3473.png?itok=y2aCqft6,Crassulaceae,"",Hierba perenne,Introducida,"Araucanía (ARA), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",-,-,-,-
Sicyos baderoa Hook. & Arn. var. ambrosianus (Skottsb.) Martic. & Quezada,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3474.png?itok=IDpx8PRV,Cucurbitaceae,Sicyos bryoniaefolius Moris var. ambrosianus Skottsb.,Hierba trepadora anual,Endémica,Islas Desventuradas (IDE),400-500 m.,-,-,-
Sicyos baderoa Hook. & Arn. var. baderoa,http://catalogoplantas.udec.cl/sites/default/files/3475_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3475_1.jpg?itok=KCZI-gbH,Cucurbitaceae,Sicyos bryoniaefolius Moris,Hierba trepadora anual,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), Juan Fernández (JFE)",0-900 m.,Bolivia y Perú,"Brionia, calabacillo, tupac-llanco",-
Caldcluvia paniculata (Cav.) D. Don,http://catalogoplantas.udec.cl/sites/default/files/3476_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3476_1.jpg?itok=2qS-fpL1,Cunoniaceae,"Weinmannia paniculata Cav., Dieterica paniculata (Cav.) Ser. ex A. DC., Caldcluvia paniculata (Cav.) D. Don var. mochaena Kunke, Weinmannia corymbosa Ruiz & Pav., Weinmannia chilensis DC.",Árbol,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS)",0-500 m.,Argentina,"Tiaca, triaca, quiaca",-
Eucryphia cordifolia Cav.,http://catalogoplantas.udec.cl/sites/default/files/3477_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3477_1.jpg?itok=cIivvisr,Cunoniaceae,Pellinia cordifolia (Cav.) Molina,Árbol,Nativa,"Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS)",0-1000 m.,Argentina,"Ulmo, muermo",-
Eucryphia glutinosa (Poepp. & Endl.) Baill.,http://catalogoplantas.udec.cl/sites/default/files/3478_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3478_1.jpg?itok=y9KPAh4v,Cunoniaceae,"Eucryphia pinnatifolia Gay, Fagus glutinosa Poepp. & Endl., Eucryphia glandulosa Reiche",Arbusto o árbol pequeño,Endémica,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",125-1400 m.,-,Guindo santo,-
Weinmannia trichosperma Cav.,http://catalogoplantas.udec.cl/sites/default/files/3479_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3479_1.jpg?itok=Bb8nD7Bf,Cunoniaceae,"Weinmannia dentata Ruiz & Pav., Windmannia trichosperma (Cav.) Kuntze",Árbol,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-1000 m.,Argentina,"Tineo, palo santo, teñiu, tinel, maden",-
Drosera uniflora Willd.,http://catalogoplantas.udec.cl/sites/default/files/3480_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3480_1.jpg?itok=jpTVpHQC,Droseraceae,Drosera macloviana Gand.,Hierba perenne,Nativa,"Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-600 m.,Argentina,Atrapa-moscas,-
Aristotelia chilensis (Molina) Stuntz,http://catalogoplantas.udec.cl/sites/default/files/3481_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3481_1.jpg?itok=8At-R6hs,Elaeocarpaceae,"Aristotelia glandulosa Ruiz & Pav., nom. illeg., Aristotelia macqui L'Hér., Aristotelia macqui L'Hér. var. alpestris Reiche, Aristotelia macqui L'Hér. var. andina Phil., Cornus chilensis Molina, Aristotelia glabra Miers",Arbusto o árbol pequeño,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Juan Fernández (JFE)",0-1500 m.,Argentina,"Maqui, clon",Introducida en el Archipiélago de Juan Fernández
Crinodendron hookerianum Gay,http://catalogoplantas.udec.cl/sites/default/files/3482_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3482_1.jpg?itok=oyy2ikWU,Elaeocarpaceae,"Tricuspidaria hookeriana (Gay) A. Cunn., Tricuspidaria lanceolata Miq., Crinodendron eriocladum Gand.",Árbol,Endémica,"Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",0-1100 m.,-,"Chaquihue, chequehue, polizón, olivillo",-
Crinodendron patagua Molina,http://catalogoplantas.udec.cl/sites/default/files/3483_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3483_1.jpg?itok=AMDyBRG6,Elaeocarpaceae,"Tricuspidaria dependens Ruiz & Pav., Crinodendron dependens (Ruiz & Pav.) Kuntze, Tricuspidaria hexapetala Turcz., Tricuspidaria patagua (Molina) Miers",Árbol,Endémica,"Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Juan Fernández (JFE)",0-1800 m.,-,"Patagua, patahua",Introducida en el Archipiélago de Juan Fernández
Elatine triandra Schkuhr,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3484.png?itok=lq8KZ1xq,Elatinaceae,"Elatine chilensis Naudin, Elatine nivalis Speg., Elatine hydropiper L. var. triandra (Schkuhr) Fiori",Hierba anual,Nativa,"Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",0-1000 m.,"Argentina, Bolivia y Perú","Yerbilla, hierbilla",-
Empetrum rubrum Vahl ex Willd.,http://catalogoplantas.udec.cl/sites/default/files/3485_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3485_1.jpg?itok=e3KbOb3b,Ericaceae,"Empetrum nigrum L. var. andinum DC., Empetrum maclovianum Gand.",Subarbusto,Nativa,"Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",0-3650 m.,Argentina,"Brecillo, murtilla de Magallanes",-
Gaultheria antarctica Hook.f.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3486.png?itok=yt6GvDx6,Ericaceae,"Pernettya serpyllifolia (Lam.) DC., Arbutus serpyllifolia Lam., Gaultheria microphylla Hook.f., Gaultheria serpyllifolia (Lam.) Skottsb., Pernettya hookeri Nied.",Subarbusto,Nativa,"Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-500 m.,Argentina,-,-
Gaultheria caespitosa Poepp. & Endl.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3487.png?itok=VslAlce3,Ericaceae,"Pernettya minima Phil., Gaultheria minima (Phil.) Sandwith",Arbusto o subarbusto,Nativa,"Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA), Aysén (AIS)",1500-2500 m.,Argentina,-,-
Gaultheria insana (Molina) D.J. Middleton,http://catalogoplantas.udec.cl/sites/default/files/3488_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3488_1.jpg?itok=jz0ePJiB,Ericaceae,"Hippomanica insana Molina, Pernettya furiens (Hook. & Arn.) Klotzsch, Pernettya insana (Molina) Gunckel, Gaultheria furiens (Hook. & Arn.) Hook. & Arn., Arbutus furiens Hook. & Arn., Arbutus punctata Hook. & Arn., Gaultheria punctata (Hook. & Arn.) Hook. & Arn., Pernettya punctata (Hook. & Arn.) Klotzsch, Arbutus vernalis Poepp. & Endl., Gaultheria vernalis (Poepp. & Endl.) Kunze, Pernettya vernalis (Poepp. & Endl.) Phil., Pernettya melanocarpa Phil.",Arbusto,Nativa,"Antofagasta (ANT), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-600 m.,Argentina,Hued-hued,-
Gaultheria linifolia (Phil.) Teillier & R.A. Rodr.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3489.png?itok=YR6OiOqi,Ericaceae,"Pernettya linifolia Phil., Pernettya mucronata (L.f.) Gaudich. ex Spreng. var. linifolia (Phil.) Reiche, Pernettya prostrata (Cav.) DC. var. linifolia (Phil.) Sleumer, Pernettya myrtilloides Zucc. ex Steud. var. linifolia (Phil.) Kausel, Pernettya poeppigii (DC.) Klotzsch var. linifolia (Phil.) Sleumer, Gaultheria poeppigii DC. var. linifolia (Phil.) D.J. Middleton",Arbusto,Endémica,"Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",65-1280 m.,-,-,-
Gaultheria marticorenae Teillier & P.W. Fritsch,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3490.png?itok=9AODIbp9,Ericaceae,"Pernettya angustifolia Lindl., Pernettya mucronata (L.f.) Gaudich. ex Spreng. var. angustifolia (Lindl.) Reiche, Gaultheria mucronata (L.f.) Hook. var. angustifolia (Lindl.) D.J. Middleton, Pernettya leucocarpa DC. var. linearis Reiche, Gaultheria angustifolia (Lindl.) Teillier",Arbusto,Nativa,"Coquimbo (COQ), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",10-1300 m.,Argentina,Chaura,-
Gaultheria mucronata (L.f.) Hook. & Arn.,http://catalogoplantas.udec.cl/sites/default/files/3491_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3491_1.jpg?itok=TaVuOxda,Ericaceae,"Gaultheria mucronata (L.f.) Hook. & Arn. var. microphylla (Hombr.) D.J. Middleton, Pernettya mucronata (L.f.) Gaudich. ex Spreng. var. microphylla Decne., Pernettya mucronata (L.f.) Gaudich. ex Spreng., Pernettya mucronata (L.f.) Gaudich. ex Spreng. var. parvifolia (Phil.) Skottsb., Pernettya rupicola Phil., Arbutus mucronata L.f., Arbutus rigida Banks & Sol. ex Hook.f., Pernettya ovalifolia Hombr. & Jacq., Pernettya oblongifolia Hombr. & Jacq., Pernettya mucronata DC. var. rupicola (Phil.) Reiche, Pernettya litoralis Phil., Gaultheria myrtilloides Hook. & Arn. var. minor Hook. & Arn., Pernettya parvifolia Phil.",Arbusto,Nativa,"Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-1100 m.,Argentina,Chaura,-
Gaultheria nubigena (Phil.) B.L. Burtt & Sleumer,http://catalogoplantas.udec.cl/sites/default/files/3492_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3492_1.jpg?itok=_zp7RIWR,Ericaceae,Pernettya nubigena Phil.,Arbusto,Nativa,"Araucanía (ARA), Los Lagos (LLA)",1000-1500 m.,Argentina,-,-
Gaultheria phillyreifolia (Pers.) Sleumer,http://catalogoplantas.udec.cl/sites/default/files/3493_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3493_1.jpg?itok=0GaL5NkV,Ericaceae,"Pernettya palenae Phil., Pernettya philippii Gand., Pernettya phillyreifolia (Pers.) DC., Arbutus phillyreifolia Pers., Gaultheria florida Phil., Gaultheria myrtilloides Hook. & Arn., Gaultheria phillyreifolia (Pers.) Sleumer var. florida (Phil.) Kausel, Gaultheria lanceolata Phil., Gaultheria myrtilloides Hook. & Arn. var. racemosa Phil. ex Reiche",Arbusto,Nativa,"O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-1500 m.,Argentina,Chaura,-
Gaultheria poeppigii DC.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3494.png?itok=JXlIsOlC,Ericaceae,"Gaultheria poeppigii DC. var. nana (Sleumer) D.J. Middleton, Pernettya myrtilloides Zucc. ex Steud. var. myrtilloides, Pernettya myrtilloides Zucc. ex Steud. var. nana (Sleumer) Sleumer, Pernettya poeppigii (DC.) Klotzsch, Gaultheria myrtilloides Poepp. & Endl., nom. illeg., Pernettya poeppigii (DC.) Klotzsch var. nana Sleumer, Pernettya buxifolia Phil., Pernettya leucocarpa DC. var. buxifolia (Phil.) Reiche, Pernettya phillyreifolia (Pers.) DC. var. araucana Kuntze",Arbusto,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS)",0-2500 m.,Argentina,"Chaura, chal, cheúkk, gus, amain-ngush",-
Gaultheria pumila (L.f.) D.J. Middleton var. leucocarpa (DC.) D.J. Middleton,http://catalogoplantas.udec.cl/sites/default/files/3495_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3495_1.jpg?itok=rbXIF4ok,Ericaceae,"Gaultheria pumila (L.f.) D.J. Middleton var. crassifolia (Phil.) D.J. Middleton, Pernettya pumila (L.f.) Hook. var. crassifolia (Phil.) Sleumer, Pernettya pumila (L.f.) Hook. var. leucocarpa (DC.) Kausel, Pernettya breviflora Phil., Pernettya crassifolia Phil., Pernettya empetrifolia (Lam.) Gaudich. var. leucocarpa (DC.) Wedd., Pernettya leucocarpa DC., Pernettya trinervia Gand., Pernettya leucocarpa DC. var. gayana DC., Pernettya gayana (DC.) Decne.",Arbusto,Nativa,"Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",600-3200 m.,Argentina,-,-
Gaultheria pumila (L.f.) D.J. Middleton var. pumila,http://catalogoplantas.udec.cl/sites/default/files/3496_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3496_1.jpg?itok=dZvTJnsn,Ericaceae,"Pernettya pumila (L.f.) Hook., Arbutus pumila L.f., Arbutus empetrifolia Lam., Pernettya empetrifolia (Lam.) Gaudich., Pernettya pumila (L.f.) Hook. var. empetrifolia (Lam.) Hook.f.",Arbusto,Nativa,"Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-1000 m.,Argentina,"Chaura, chal, chan ámain",-
Gaultheria racemulosa (DC.) D.J. Middleton,http://catalogoplantas.udec.cl/sites/default/files/3497_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3497_1.jpg?itok=RcX9HP7z,Ericaceae,"Pernettya rigida (Bertero ex Colla) DC., Pernettya mucronata (L.f.) Gaudich. ex Spreng. var. mutica Hook. & Arn., Pernettya bridgesii Phil., Pernettya racemulosa DC.",Arbusto,Endémica,Juan Fernández (JFE),100-1400 m.,-,Murtillo de Juan Fernández,-
Gaultheria renjifoana Phil.,http://catalogoplantas.udec.cl/sites/default/files/3498_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/3498_1.jpg?itok=74_BxV-b,Ericaceae,"Gaultheria rengifoana Phil., sphalm.",Arbusto,Endémica,Biobío (BIO),10-175 m.,-,Chaura de Laraquete,-
